Number,Zeitstempel,Date of study session (today),Starting time,Gender,Age,Profession,Are you currently wearing glasses or contacts?,Are you a student?,What degree are you pursuing?,Field of study?,General discomfort,Fatigue,Headache,Eyestrain,Difficulty focusing,Increased salivation,Sweating,Nausea,Difficulty concentrating,Fullness of head,Blurred vision,Dizziness (eyes open),Dizziness (eyes closed),Vertigo,Stomach awareness,Burping,How mentally fatiguing was the task?,How physically fatiguing was the task?,How hurried or rushed did you feel during the task?,"How insecure, discouraged, irritated, stressed and annoyed were you?",How complex was the task?,How stressed did you feel while performing the task?,How distracting was the task environment?,How uncomfortable/irritating were the visual and auditory aspects of the task?,How difficult was the task?,General discomfort,Fatigue,Headache,Eyestrain,Difficulty focusing,Increased salivation,Sweating,Nausea,Difficulty concentrating,Fullness of head,Blurred vision,Dizziness (eyes open),Dizziness (eyes closed),Vertigo,Stomach awareness,Burping,In which experimental environment did you complete the last test?,How mentally fatiguing was the task?,How physically fatiguing was the task?,How hurried or rushed did you feel during the task?,"How insecure, discouraged, irritated, stressed and annoyed were you?",How complex was the task?,How stressed did you feel while performing the task?,How distracting was the task environment?,How uncomfortable/irritating were the visual and auditory aspects of the task?,How difficult was the task?,General discomfort,Fatigue,Headache,Eyestrain,Difficulty focusing,Increased salivation,Sweating,Nausea,Difficulty concentrating,Fullness of head,Blurred vision,Dizziness (eyes open),Dizziness (eyes closed),Vertigo,Stomach awareness,Burping,In which experimental environment did you complete the last test?,How mentally fatiguing was the task?,How physically fatiguing was the task?,How hurried or rushed did you feel during the task?,"How insecure, discouraged, irritated, stressed and annoyed were you?",How complex was the task?,How stressed did you feel while performing the task?,How distracting was the task environment?,How uncomfortable/irritating were the visual and auditory aspects of the task?,How difficult was the task?,General discomfort,Fatigue,Headache,Eyestrain,Difficulty focusing,Increased salivation,Sweating,Nausea,Difficulty concentrating,Fullness of head,Blurred vision,Dizziness (eyes open),Dizziness (eyes closed),Vertigo,Stomach awareness,Burping,"While using the VR equipment, I was able to block out most other distractions.","While using the VR equipment, I was absorbed in what I was doing.","While using the VR equipment, I was immersed in the task I was performing.","While using the VR equipment, I got very easily distracted by events unrelated to the task.","While using the VR equipment, my attention did not get diverted very easily.","Sense of being in the training room, on the following scale, where 7 represents your normal experience of being in a place. I had a sense of being in the training room:",To what extent were there times during the experience when the training room was reality for you?,"When you think back, do you think of the training room more as images that you saw, or more as a place that you visited?","During the time of the experience, which was strongest, the sense of being in the training room, or being somewhere else? ","Consider your memory of being in the training room: How similar in terms of the structure of memory is this to the structure of memory of other places that you have been today? (Structure of memory: things like the extent to which you have a visual memory of the training room, whether that memory is in color, the extent to which the memory seems vivid or realistic, its size, location in your imagination,  the extent to which it is panoramic in your imagination, and other structural elements.) Do you think of the training room as a place in a way similar to other places that I have been to today?","During the experience, did you often think to yourself that you were actually present in the test chamber?"
1,12/14/2022 10:22:57,14/12/2022,9:00:00 am,Female,24,Student,Contacts,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",2,3,0,1,0,0,1,2,0,1,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,2,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Virtual Reality,4,1,0,0,0,0,0,3,1,2,2,1,1,0,1,0,1,0,1,0,1,1,1,1,2,1,5,6,1,7,3,3,3,6,2,5
3,12/14/2022 13:54:42,14/12/2022,1:00:00 am,Male,27,Student,None,Yes,MSc,"Natural Sciences (Biology, Chemistry, Earth Science, Physics, Space Science)",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Virtual Reality,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,2,5,4,5,4,3,5,3
5,12/14/2022 16:31:56,14/12/2022,4:00:00 pm,Male,23,Student,None,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Reality,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,5,3,3,3,4,5,5,4
7,12/14/2022 18:34:42,14/12/2022,6:00:00 pm,Female,21,Student,None,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,2,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,6,6,2,6,5,6,6,6,6,6
9,12/19/2022 16:40:41,19/12/2022,4:00:00 pm,Female,27,PhD student,Glasses,Yes,PhD,"Applied Sciences (Engineering, Medicine and Health)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,7,7,7,7
11,12/20/2022 7:46:38,12/20/2022,7:00:00 am,Male,25,Student,None,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,1,7,7,7,7,7,7,7
13,12/20/2022 10:44:38,20/12/2022,10:10:00 am,Female,24,student,None,Yes,BSc,"Applied Sciences (Engineering, Medicine and Health)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Reality,3,2,0,0,2,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,3,3,2,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,7,7,7,2,5,7,5,5,7,7,6
15,12/21/2022 10:59:26,21/12/2022,10:00:00 am,Male,33,Student,Glasses,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Virtual Reality,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,2,2,2,4,2,7
17,12/21/2022 14:05:37,21/12/2022,1:38:00 pm,Female,25,Mmarketing Managerin,None,No,BSc,"Social Sciences (e.g. Anthropology, Economics, Political Science, Psychology, Sociology)",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Reality,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,5,5,6,3,6
19,12/21/2022 15:24:18,21/12/2022,2:45:00 pm,Female,23,law student,None,Yes,BSc,"Humanities (e.g. Arts, History, Languages and Literature, Law, Philosophy, Theology)",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,2,5,6,5,7,6,7,6
21,12/21/2022 17:10:47,21/12/2022,4:30:00 pm,Male,25,Student,Contacts,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,2,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Reality,1,0,3,2,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,2,3,3,1,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6,5,5,2,4,5,3,5,5,6,5
23,12/22/2022 11:26:56,22/12/2022,10:51:00 am,Male,25,Student,None,Yes,BSc,"Applied Sciences (Engineering, Medicine and Health)",1,1,0,1,0,2,0,0,0,1,0,0,0,0,2,1,1,1,3,1,2,2,1,0,2,1,1,0,1,0,2,1,0,0,1,0,0,0,0,2,1,Reality,1,2,1,2,1,1,1,2,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,Virtual Reality,2,1,1,2,1,1,3,5,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,5,6,5,2,6,5,3,4,5,5,3
25,12/22/2022 18:55:14,22/12/2022,6:14:00 pm,Female,22,Studentin,None,Yes,BSc,"Applied Sciences (Engineering, Medicine and Health)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,7,6,6,1,7,6,6,6,6,7,7
27,12/23/2022 11:42:44,23/12/2022,11:00:00 am,Male,25,Student,None,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reality,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Reality,3,1,1,1,1,1,2,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6,5,4,2,6,5,3,4,6,6,5
29,12/23/2022 15:26:38,23/12/1998,2:19:00 pm,Male,24,Student,Contacts,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Reality,1,0,0,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,Virtual Reality,2,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,6,7,7,2,6,6,5,2,6,6,1
31,12/23/2022 17:01:04,11/03/1997,4:32:00 pm,Male,25,Student,None,Yes,MSc,"Applied Sciences (Engineering, Medicine and Health)",0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Reality,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,Virtual Reality,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,6,6,3,6,7,1,6,5,2,2
